Digit_temp	id	light	timestamp	acc_z	acc_y	acc_x	motion	pressure	humid
78.08	23341ca4e4830bee	64656	5807096	7680	32192	31600	0	101069	35200
78.08	23341ca4e4830bee	64656	5807321	7680	32192	31600	0	101069	35200
78.08	23341ca4e4830bee	64656	5807522	7680	32192	31600	0	101073	35200
78.08	23341ca4e4830bee	64656	5807714	7680	32192	31600	0	101075	35200
78.08	23341ca4e4830bee	64656	5807905	7680	32208	31600	0	101061	35200
78.08	23341ca4e4830bee	64656	5808096	7680	32208	31600	0	101061	35200
78.08	23341ca4e4830bee	64656	5808287	7680	32208	31600	0	101075	35200
78.08	23341ca4e4830bee	64656	5808478	7680	32208	31600	0	101079	35152
78.08	23341ca4e4830bee	64656	5808670	7680	32240	31552	0	101067	35152
77.9	23341ca4e4830bee	64656	5808851	7680	32240	31552	0	101069	35152
77.9	23341ca4e4830bee	64656	5809046	7680	32240	31552	0	101071	35152
77.9	23341ca4e4830bee	64656	5809238	7680	32224	31568	0	101059	35136
78.08	23341ca4e4830bee	64656	5809429	7680	32224	31568	0	101073	35136
78.08	23341ca4e4830bee	64656	5809610	7680	32224	31568	0	101067	35136
77.9	23341ca4e4830bee	64656	5809801	7680	32224	31568	0	101065	35136
77.9	23341ca4e4830bee	64656	5809992	7680	32192	31568	0	101063	35104
77.9	23341ca4e4830bee	64656	5810184	7680	32192	31568	0	101071	35104
77.9	23341ca4e4830bee	64656	5810375	7680	32192	31568	0	101065	35104
77.9	23341ca4e4830bee	64656	5810566	7680	32192	31568	0	101065	35104
77.9	23341ca4e4830bee	64656	5810757	7680	32224	31568	0	101059	35088
77.9	23341ca4e4830bee	64656	5810990	7680	32224	31568	0	101067	35088
77.9	23341ca4e4830bee	64656	5811171	7680	32224	31568	0	101059	35088
77.9	23341ca4e4830bee	64656	5811362	7680	32224	31568	0	101065	35152
77.9	23341ca4e4830bee	64656	5811553	7680	32240	31568	0	101053	35152
77.9	23341ca4e4830bee	64656	5811745	7680	32240	31568	0	101073	35152
77.9	23341ca4e4830bee	64656	5811936	7680	32240	31568	0	101069	35152
77.9	23341ca4e4830bee	64656	5812127	7680	32224	31600	0	101069	35168
77.9	23341ca4e4830bee	64656	5812318	7680	32224	31600	0	101067	35168
77.9	23341ca4e4830bee	64656	5812509	7680	32224	31600	0	101065	35168
77.9	23341ca4e4830bee	64656	5812691	7680	32224	31600	0	101069	35168
77.9	23341ca4e4830bee	64656	5812882	7680	32224	31568	0	101069	35104
77.9	23341ca4e4830bee	64656	5813073	7680	32224	31568	0	101069	35104
77.9	23341ca4e4830bee	64656	5813265	7680	32224	31568	0	101065	35104
