Digit_temp	id	light	timestamp	acc_z	acc_y	acc_x	motion	pressure	humid
83.66	23341ca4e4830bee	56832	1599381	8320	32256	31392	0	101115	35104
83.66	23341ca4e4830bee	56832	1599571	8320	32256	31392	0	101113	35104
83.66	23341ca4e4830bee	56832	1599762	8320	32256	31392	0	101113	35104
83.66	23341ca4e4830bee	56832	1599943	8320	32256	31392	0	101109	35104
83.66	23341ca4e4830bee	56832	1600134	8192	32224	31392	0	101107	34944
83.66	23341ca4e4830bee	56832	1600326	8192	32224	31392	0	101113	34944
83.66	23341ca4e4830bee	56832	1600517	8192	32224	31392	0	101113	34944
83.66	23341ca4e4830bee	56832	1600708	8320	32224	31392	0	101107	34944
83.66	23341ca4e4830bee	56832	1600899	8320	32256	31392	0	101107	35312
83.66	23341ca4e4830bee	56832	1601090	8320	32256	31392	0	101121	35312
83.66	23341ca4e4830bee	56832	1601281	8320	32256	31392	0	101119	35312
83.66	23341ca4e4830bee	56832	1601477	8320	32256	31392	0	101109	35328
83.66	23341ca4e4830bee	56832	1601668	8320	32240	31392	0	101109	35328
83.66	23341ca4e4830bee	56832	1601859	8320	32240	31392	0	101107	35328
83.66	23341ca4e4830bee	56832	1602050	8320	32240	31392	0	101113	35328
83.66	23341ca4e4830bee	56832	1602241	8320	32224	31408	0	101113	35328
83.66	23341ca4e4830bee	56832	1602437	8320	32224	31408	0	101113	35328
83.66	23341ca4e4830bee	56832	1602629	8320	32224	31408	0	101115	35328
83.66	23341ca4e4830bee	56832	1602820	8320	32224	31408	0	101109	35328
83.66	23341ca4e4830bee	56832	1603011	8320	32224	31408	0	101115	35344
83.66	23341ca4e4830bee	56832	1603244	8320	32224	31408	0	101121	35344
83.66	23341ca4e4830bee	56832	1603440	8320	32224	31408	0	101109	35344
83.66	23341ca4e4830bee	56832	1603631	8448	32224	31408	0	101117	35200
83.66	23341ca4e4830bee	56832	1603822	8448	32256	31392	0	101121	35200
83.66	23341ca4e4830bee	56832	1604013	8448	32256	31392	0	101115	35200
83.66	23341ca4e4830bee	56832	1604194	8448	32256	31392	0	101105	35200
83.66	23341ca4e4830bee	56832	1604385	8320	32240	31392	0	101109	35152
83.66	23341ca4e4830bee	56832	1604576	8320	32240	31376	0	101115	35152
83.66	23341ca4e4830bee	56832	1604767	8320	32240	31376	0	101115	35152
83.48	23341ca4e4830bee	56832	1604958	8320	32240	31376	0	101103	35152
83.66	23341ca4e4830bee	56832	1605150	8320	32224	31392	0	101105	35152
83.48	23341ca4e4830bee	56832	1605341	8320	32224	31392	0	101095	35152
83.48	23341ca4e4830bee	56832	1605532	8320	32224	31392	0	101109	35152
83.48	23341ca4e4830bee	56832	1605723	8320	32224	31392	0	101115	35152
83.66	23341ca4e4830bee	56832	1605904	8320	32256	31376	0	101117	34960
83.66	23341ca4e4830bee	56832	1606095	8320	32256	31376	0	101119	34960
83.48	23341ca4e4830bee	56832	1606289	8320	32256	31376	0	101115	34960
83.48	23341ca4e4830bee	56832	1606481	8320	32256	31376	0	101113	34960
83.48	23341ca4e4830bee	56832	1606672	8320	32240	31392	0	101115	35344
