Digit_temp	id	light	timestamp	acc_z	acc_y	acc_x	motion	pressure	humid
72.68	23341ca4e4830bee	64640	7132779	7040	32208	31520	0	101061	35168
72.68	23341ca4e4830bee	64640	7132979	7040	32208	31520	0	101059	35168
72.68	23341ca4e4830bee	64640	7133170	7040	32208	31520	0	101057	35168
72.68	23341ca4e4830bee	64640	7133362	7040	32208	31520	0	101055	35168
72.68	23341ca4e4830bee	64640	7133553	7040	32224	31552	0	101059	35168
72.68	23341ca4e4830bee	64640	7133745	7040	32224	31552	0	101059	35168
72.68	23341ca4e4830bee	64640	7133926	7040	32224	31552	0	101055	35168
72.68	23341ca4e4830bee	64640	7134128	7040	32224	31552	0	101053	35168
72.68	23341ca4e4830bee	64640	7134320	7040	32288	31504	0	101059	35184
72.68	23341ca4e4830bee	64640	7134511	7040	32288	31504	0	101051	35184
72.5	23341ca4e4830bee	64640	7134702	7040	32288	31504	0	101055	35184
72.68	23341ca4e4830bee	64640	7134893	7040	32288	31504	0	101059	35136
72.68	23341ca4e4830bee	64640	7135084	7040	32240	31536	0	101059	35136
72.68	23341ca4e4830bee	64640	7135276	7040	32240	31536	0	101053	35136
72.68	23341ca4e4830bee	64640	7135467	7040	32240	31536	0	101057	35136
72.68	23341ca4e4830bee	64640	7135658	7040	32240	31504	0	101065	35136
72.68	23341ca4e4830bee	64640	7135849	7040	32240	31504	0	101059	35136
72.68	23341ca4e4830bee	64640	7136041	7040	32240	31504	0	101063	35136
72.68	23341ca4e4830bee	64640	7136232	7040	32240	31504	0	101059	35136
72.68	23341ca4e4830bee	64640	7136423	7040	32224	31520	0	101059	35168
72.5	23341ca4e4830bee	64640	7136654	7040	32224	31520	0	101065	35168
72.5	23341ca4e4830bee	64640	7136845	7040	32224	31520	0	101065	35168
72.5	23341ca4e4830bee	64640	7137036	7040	32224	31520	0	101055	35136
72.5	23341ca4e4830bee	64640	7137227	7040	32240	31520	0	101055	35136
72.5	23341ca4e4830bee	64640	7137419	7040	32240	31520	0	101051	35136
72.5	23341ca4e4830bee	64640	7137610	7040	32240	31520	0	101061	35136
72.5	23341ca4e4830bee	64640	7137801	7040	32224	31520	0	101063	35152
72.5	23341ca4e4830bee	64640	7137993	7040	32224	31520	0	101057	35152
72.5	23341ca4e4830bee	64640	7138184	7040	32224	31520	0	101061	35152
72.5	23341ca4e4830bee	64640	7138375	7040	32224	31520	0	101063	35152
72.5	23341ca4e4830bee	64640	7138556	7040	32240	31536	0	101055	35120
72.5	23341ca4e4830bee	64640	7138748	7040	32240	31536	0	101057	35120
72.5	23341ca4e4830bee	64640	7138939	7040	32240	31536	0	101057	35120
72.5	23341ca4e4830bee	64640	7139130	7040	32240	31536	0	101061	35120
72.5	23341ca4e4830bee	64640	7139321	6912	32224	31520	0	101059	35136
72.5	23341ca4e4830bee	64640	7139524	6912	32224	31520	0	101065	35136
72.5	23341ca4e4830bee	64640	7139715	6912	32224	31520	0	101055	35136
72.5	23341ca4e4830bee	64640	7139897	7040	32224	31520	0	101057	35136
72.5	23341ca4e4830bee	64640	7140100	7040	32240	31504	0	101063	35184
72.5	23341ca4e4830bee	64640	7140291	7040	32240	31504	0	101057	35184
72.5	23341ca4e4830bee	64640	7140534	7040	32240	31504	0	101063	35184
72.5	23341ca4e4830bee	64640	7140725	7040	32208	31520	0	101063	35152
72.5	23341ca4e4830bee	64640	7140916	7040	32208	31520	0	101053	35152
72.5	23341ca4e4830bee	64640	7141101	7040	32208	31520	0	101063	35152
72.5	23341ca4e4830bee	64640	7141292	7040	32208	31520	0	101059	35152
72.5	23341ca4e4830bee	64640	7141483	7040	32224	31536	0	101065	35200
72.5	23341ca4e4830bee	64640	7141674	7040	32224	31536	0	101057	35200
72.5	23341ca4e4830bee	64640	7141866	7040	32224	31536	0	101061	35200
72.5	23341ca4e4830bee	64640	7142048	7040	32224	31536	0	101053	35200
72.5	23341ca4e4830bee	64640	7142239	7040	32224	31504	0	101065	35136
72.5	23341ca4e4830bee	64640	7142430	7040	32224	31504	0	101067	35136
72.5	23341ca4e4830bee	64640	7142621	7040	32224	31504	0	101065	35136
72.5	23341ca4e4830bee	64640	7142817	7040	32224	31504	0	101053	35152
72.5	23341ca4e4830bee	64640	7143009	7040	32208	31536	0	101059	35152
72.5	23341ca4e4830bee	64640	7143200	7040	32208	31536	0	101053	35152
72.5	23341ca4e4830bee	64640	7143391	7040	32208	31536	0	101059	35152
72.5	23341ca4e4830bee	64640	7143583	7040	32256	31536	0	101059	35200
72.5	23341ca4e4830bee	64640	7143774	7040	32256	31536	0	101055	35200
72.5	23341ca4e4830bee	64640	7143965	7040	32256	31536	0	101059	35200
72.5	23341ca4e4830bee	64640	7144157	7040	32256	31536	0	101059	35200
72.5	23341ca4e4830bee	64640	7144405	7040	32224	31504	0	101053	35152
